from_id,AI,X,Y,CAL
"100330",923.831655083611,524945,184352,1
"100331",831.436805881857,525045,184352,1
"100332",923.155564877115,525145,184352,1
"100333",949.328936729638,525245,184352,1
"100334",1208.44522778597,525345,184352,2
"100335",1234.16796183293,525445,184352,2
"100336",1229.69080228297,525545,184352,2
"100337",1144.47971729746,525645,184352,2
"100338",1126.07131232911,525745,184352,2
"100339",1043.64126352058,525845,184352,2
"100340",1148.29355172949,525945,184352,2
"100341",989.186188877438,526045,184352,2
"100342",1069.47271614113,526145,184352,2
"100343",1048.94249151367,526245,184352,2
"100344",995.453931852187,526345,184352,2
"100345",1228.04734989903,526445,184352,2
"100346",1169.96146002184,526545,184352,2
"100347",2485.49167232339,526645,184352,4
"100348",1658.4931392792,526745,184352,3
"100349",1624.88340306726,526845,184352,3
"100350",1201.35918443639,526945,184352,2
"100351",1219.88460233395,527045,184352,2
"100352",1037.04311827595,527145,184352,2
"100353",1443.5670230725,527245,184352,2
"100354",1532.13767104548,527345,184352,2
"100355",1486.26736266898,527445,184352,2
"100356",1449.38819951784,527545,184352,2
"100357",1154.19218400185,527645,184352,2
"100358",1544.15432820473,527745,184352,3
"100359",1141.0875510407,527845,184352,2
"100360",1648.41687948968,527945,184352,3
"100361",1763.24454124894,528045,184352,3
"100362",1669.55583879873,528145,184352,3
"100363",1709.90064707543,528245,184352,3
"100364",1741.34181411687,528345,184352,3
"100365",1556.62881917313,528445,184352,3
"100366",1026.61352533505,528545,184352,2
"100367",1147.43815458816,528645,184352,2
"100368",1123.0550215722,528745,184352,2
"100369",1422.19106420112,528845,184352,2
"100370",1413.76311146785,528945,184352,2
"100371",1180.75313493974,529045,184352,2
"100372",1096.41368033037,529145,184352,2
"100373",1113.560477683,529245,184352,2
"100374",1109.33936977514,529345,184352,2
"100375",1430.74890828097,529445,184352,2
"100376",1435.7557399439,529545,184352,2
"100377",1310.93979990684,529645,184352,2
"100378",1261.09017425235,529745,184352,2
"100379",1540.97129736804,529845,184352,2
"100380",1677.81871659265,529945,184352,3
"100381",1569.98700742983,530045,184352,3
"100874",986.325858116334,524845,184452,2
"100875",911.936842623742,524945,184452,1
"100876",816.656191208537,525045,184452,1
"100877",917.299883748762,525145,184452,1
"100878",1178.01149500262,525245,184452,2
"100879",1189.83182177774,525345,184452,2
"100880",1329.65891475777,525445,184452,2
"100881",1337.92219230045,525545,184452,2
"100882",1213.81856624863,525645,184452,2
"100883",1189.68321238052,525745,184452,2
"100884",1066.96474862818,525845,184452,2
"100885",1236.73266836213,525945,184452,2
"100886",1398.70687779758,526045,184452,2
"100887",1122.09103146615,526145,184452,2
"100888",1284.06536635588,526245,184452,2
"100889",1272.76635555833,526345,184452,2
"100890",1549.49387484925,526445,184452,3
"100891",2245.40680314809,526545,184452,4
"100892",1698.37610015383,526645,184452,3
"100893",1555.35236972241,526745,184452,3
"100894",1295.51088905124,526845,184452,2
"100895",1321.20034276713,526945,184452,2
"100896",1201.0987368447,527045,184452,2
"100897",924.048406784175,527145,184452,1
"100898",933.704198304832,527245,184452,1
"100899",1072.0990306491,527345,184452,2
"100900",1657.59988740295,527445,184452,3
"100901",1527.14596596581,527545,184452,2
"100902",1153.0283532313,527645,184452,2
"100903",974.461314608707,527745,184452,1
"100904",1092.01181744409,527845,184452,2
"100905",1153.27320372106,527945,184452,2
"100906",1763.57963069238,528045,184452,3
"100907",2168.15920308101,528145,184452,4
"100908",1700.63747382553,528245,184452,3
"100909",1184.2943509863,528345,184452,2
"100910",1695.72410512831,528445,184452,3
"100911",1216.93672862406,528545,184452,2
"100912",1091.44817226632,528645,184452,2
"100913",1145.49718125437,528745,184452,2
"100914",1154.15589896358,528845,184452,2
"100915",1261.72756613342,528945,184452,2
"100916",1178.78509231471,529045,184452,2
"100917",1104.72351143931,529145,184452,2
"100918",1117.9889999254,529245,184452,2
"100919",1147.74356605808,529345,184452,2
"100920",1442.07068445593,529445,184452,2
"100921",1459.94241660319,529545,184452,2
"100922",1205.07314960661,529645,184452,2
"100923",1274.00534915717,529745,184452,2
"100924",1276.82059235439,529845,184452,2
"100925",1596.73587445326,529945,184452,3
"101417",1433.15335207519,524745,184552,2
"101418",965.706633788175,524845,184552,1
"101419",915.89883688078,524945,184552,1
"101420",921.3661386785,525045,184552,1
"101421",1175.43608704791,525145,184552,2
"101422",1168.43283964602,525245,184552,2
"101423",1324.75510098577,525345,184552,2
"101424",1881.05990094723,525445,184552,3
"101425",2081.10705538398,525545,184552,3
"101426",1446.24217926709,525645,184552,2
"101427",1434.45686391806,525745,184552,2
"101428",1330.02624534125,525845,184552,2
"101429",1251.66027439891,525945,184552,2
"101430",1303.90353219901,526045,184552,2
"101431",1343.99861919027,526145,184552,2
"101432",1403.19634556864,526245,184552,2
"101433",1536.56431938624,526345,184552,2
"101434",1719.89227470792,526445,184552,3
"101435",1255.79728279589,526545,184552,2
"101436",1253.83829959059,526645,184552,2
"101437",1298.62533789418,526745,184552,2
"101438",1228.11112941655,526845,184552,2
"101439",963.682561756092,526945,184552,1
"101440",892.370043574227,527045,184552,1
"101441",844.522051017623,527145,184552,1
"101442",857.147326151191,527245,184552,1
"101443",966.726459780529,527345,184552,1
"101444",1248.09475725415,527445,184552,2
"101445",1625.3926419269,527545,184552,3
"101446",1077.36157300224,527645,184552,2
"101447",1289.904021674,527745,184552,2
"101448",1207.902594584,527845,184552,2
"101449",1214.04444191173,527945,184552,2
"101450",1665.39240638822,528045,184552,3
"101451",1209.13939533326,528145,184552,2
"101452",1826.82377428689,528245,184552,3
"101453",1398.4312513259,528345,184552,2
"101454",1700.7160849556,528445,184552,3
"101455",1245.39969061035,528545,184552,2
"101456",1036.01694636334,528645,184552,2
"101457",1054.54336835809,528745,184552,2
"101458",1157.79612987514,528845,184552,2
"101459",1371.5090575997,528945,184552,2
"101460",872.665520108085,529045,184552,1
"101461",1397.56230991927,529145,184552,2
"101462",1408.92131394852,529245,184552,2
"101463",1418.33624119378,529345,184552,2
"101464",1440.03938117994,529445,184552,2
"101465",1474.9670361867,529545,184552,2
"101466",1089.93875322944,529645,184552,2
"101467",1259.99674765233,529745,184552,2
"101468",1267.79473005041,529845,184552,2
"101469",1052.99549439387,529945,184552,2
"101959",1376.76930097841,524745,184652,2
"101960",1345.18004799791,524845,184652,2
"101961",901.972989816847,524945,184652,1
"101962",913.366823121513,525045,184652,1
"101963",897.270157885316,525145,184652,1
"101964",900.830331352845,525245,184652,1
"101965",1194.2500083315,525345,184652,2
"101966",1782.0337759485,525445,184652,3
"101967",2804.34420291296,525545,184652,5
"101968",1796.41126088936,525645,184652,3
"101969",1326.71747851641,525745,184652,2
"101970",997.768839002665,525845,184652,2
"101971",1259.69595319046,525945,184652,2
"101972",1195.29935055689,526045,184652,2
"101973",1378.32263883358,526145,184652,2
"101974",2140.7747486444,526245,184652,4
"101975",1743.31293946561,526345,184652,3
"101976",1272.73002834709,526445,184652,2
"101977",1259.48669238165,526545,184652,2
"101978",1016.85603025886,526645,184652,2
"101979",891.440522037576,526745,184652,1
"101980",977.300334138501,526845,184652,1
"101981",911.200837241313,526945,184652,1
"101982",833.578035543603,527045,184652,1
"101983",852.005934829525,527145,184652,1
"101984",929.847410538675,527245,184652,1
"101985",937.382822739367,527345,184652,1
"101986",1220.03021488545,527445,184652,2
"101987",1312.76384782951,527545,184652,2
"101988",1354.70494961612,527645,184652,2
"101989",1112.54779356925,527745,184652,2
"101990",1404.40860807248,527845,184652,2
"101991",1367.73725069698,527945,184652,2
"101992",1210.36804168958,528045,184652,2
"101993",1314.71364474901,528145,184652,2
"101994",1342.97424233949,528245,184652,2
"101995",1861.02997597415,528345,184652,3
"101996",1416.06437913891,528445,184652,2
"101997",1288.05262799878,528545,184652,2
"101998",1343.23786630362,528645,184652,2
"101999",1088.87528669357,528745,184652,2
"102000",1377.49658128754,528845,184652,2
"102001",2611.06685615068,528945,184652,4
"102002",1350.26504726712,529045,184652,2
"102003",1182.11885848388,529145,184652,2
"102004",931.731062976463,529245,184652,1
"102005",879.668487989479,529345,184652,1
"102006",1770.50094445213,529445,184652,3
"102007",1870.5662002198,529545,184652,3
"102008",1829.96217272686,529645,184652,3
"102009",1039.26654657116,529745,184652,2
"102010",1052.82704821264,529845,184652,2
"102011",1129.73197655716,529945,184652,2
"102502",1702.58037379364,524645,184752,3
"102503",1375.02178350685,524745,184752,2
"102504",1309.50631498696,524845,184752,2
"102505",857.514536927453,524945,184752,1
"102506",871.29414291222,525045,184752,1
"102507",900.536710576897,525145,184752,1
"102508",1158.77862282996,525245,184752,2
"102509",1321.07797215472,525345,184752,2
"102510",1383.48828668444,525445,184752,2
"102511",1851.56629037869,525545,184752,3
"102512",1341.58460583009,525645,184752,2
"102513",966.798029357878,525745,184752,1
"102514",1143.68565301321,525845,184752,2
"102515",1235.27527930313,525945,184752,2
"102516",1113.69858511166,526045,184752,2
"102517",1096.10131806237,526145,184752,2
"102518",976.960684834335,526245,184752,1
"102519",1470.67434109476,526345,184752,2
"102520",1197.01745430443,526445,184752,2
"102521",1060.55455677279,526545,184752,2
"102522",1011.13587017766,526645,184752,2
"102523",872.593083382059,526745,184752,1
"102524",904.451783636507,526845,184752,1
"102525",821.330546951346,526945,184752,1
"102526",826.934405896914,527045,184752,1
"102527",1112.49472368333,527145,184752,2
"102528",1117.31494357085,527245,184752,2
"102529",1150.25277397157,527345,184752,2
"102530",1357.76209136235,527445,184752,2
"102531",1767.65262800853,527545,184752,3
"102532",2496.61836289652,527645,184752,4
"102533",1637.3603832699,527745,184752,3
"102534",909.842903337391,527845,184752,1
"102535",1110.83709071374,527945,184752,2
"102536",1059.08680677608,528045,184752,2
"102537",1142.00400256508,528145,184752,2
"102538",1163.53050405818,528245,184752,2
"102539",1381.0476038987,528345,184752,2
"102540",1209.00903236533,528445,184752,2
"102541",1196.96062771233,528545,184752,2
"102542",949.898140171531,528645,184752,1
"102543",1043.44426164907,528745,184752,2
"102544",1179.45660340379,528845,184752,2
"102545",1585.70029310306,528945,184752,3
"102546",1178.08742817721,529045,184752,2
"102547",1095.74534909152,529145,184752,2
"102548",1004.39121507958,529245,184752,2
"102549",976.414609575192,529345,184752,1
"102550",1560.64008344007,529445,184752,3
"102551",1784.51033389918,529545,184752,3
"102552",2420.94708491426,529645,184752,4
"102553",1076.94844263299,529745,184752,2
"102554",1134.03542132022,529845,184752,2
"102555",1224.00310545567,529945,184752,2
